,Scores,Card,Loss
0,25,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216B270>,
1,9,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216B4A0>,"tf.Tensor(44.777317, shape=(), dtype=float32)"
2,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216B580>,"tf.Tensor(37.176994, shape=(), dtype=float32)"
3,15,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216B660>,"tf.Tensor(18.262264, shape=(), dtype=float32)"
4,22,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216B820>,"tf.Tensor(154.21716, shape=(), dtype=float32)"
5,20,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216B9E0>,"tf.Tensor(114.20646, shape=(), dtype=float32)"
6,9,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216BA50>,"tf.Tensor(91.82273, shape=(), dtype=float32)"
7,9,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216BAC0>,"tf.Tensor(71.168884, shape=(), dtype=float32)"
8,21,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216BB30>,"tf.Tensor(93.33693, shape=(), dtype=float32)"
9,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216BBA0>,"tf.Tensor(103.609795, shape=(), dtype=float32)"
10,28,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216BC10>,"tf.Tensor(79.56191, shape=(), dtype=float32)"
11,17,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216BC80>,"tf.Tensor(54.32561, shape=(), dtype=float32)"
12,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216BCF0>,"tf.Tensor(83.07216, shape=(), dtype=float32)"
13,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216BD60>,"tf.Tensor(90.707825, shape=(), dtype=float32)"
14,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216BDD0>,"tf.Tensor(60.949127, shape=(), dtype=float32)"
15,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216BE40>,"tf.Tensor(93.145645, shape=(), dtype=float32)"
16,21,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216B970>,"tf.Tensor(105.04352, shape=(), dtype=float32)"
17,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216BF90>,"tf.Tensor(16.302912, shape=(), dtype=float32)"
18,21,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216BF20>,"tf.Tensor(42.385952, shape=(), dtype=float32)"
19,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975216BEB0>,"tf.Tensor(52.50125, shape=(), dtype=float32)"
20,33,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293040>,"tf.Tensor(25.42556, shape=(), dtype=float32)"
21,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293120>,"tf.Tensor(50.95745, shape=(), dtype=float32)"
22,18,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293190>,"tf.Tensor(20.353071, shape=(), dtype=float32)"
23,21,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293200>,"tf.Tensor(17.85114, shape=(), dtype=float32)"
24,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293270>,"tf.Tensor(30.114212, shape=(), dtype=float32)"
25,28,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293350>,"tf.Tensor(17.026625, shape=(), dtype=float32)"
26,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293430>,"tf.Tensor(50.16492, shape=(), dtype=float32)"
27,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297522934A0>,"tf.Tensor(32.11387, shape=(), dtype=float32)"
28,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293510>,"tf.Tensor(30.539574, shape=(), dtype=float32)"
29,37,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293580>,"tf.Tensor(45.262848, shape=(), dtype=float32)"
30,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297522935F0>,"tf.Tensor(35.93457, shape=(), dtype=float32)"
31,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293660>,"tf.Tensor(16.925129, shape=(), dtype=float32)"
32,19,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297522933C0>,"tf.Tensor(37.327957, shape=(), dtype=float32)"
33,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297522937B0>,"tf.Tensor(11.521812, shape=(), dtype=float32)"
34,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293740>,"tf.Tensor(7.7081137, shape=(), dtype=float32)"
35,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293820>,"tf.Tensor(18.809708, shape=(), dtype=float32)"
36,15,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293890>,"tf.Tensor(32.539764, shape=(), dtype=float32)"
37,9,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293900>,"tf.Tensor(46.375713, shape=(), dtype=float32)"
38,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293970>,"tf.Tensor(23.207874, shape=(), dtype=float32)"
39,36,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297522939E0>,"tf.Tensor(18.804281, shape=(), dtype=float32)"
40,23,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293A50>,"tf.Tensor(13.682771, shape=(), dtype=float32)"
41,28,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293AC0>,"tf.Tensor(10.93212, shape=(), dtype=float32)"
42,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293B30>,"tf.Tensor(22.015957, shape=(), dtype=float32)"
43,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293BA0>,"tf.Tensor(21.469524, shape=(), dtype=float32)"
44,31,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293C10>,"tf.Tensor(41.84362, shape=(), dtype=float32)"
45,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293C80>,"tf.Tensor(40.550873, shape=(), dtype=float32)"
46,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293CF0>,"tf.Tensor(8.259611, shape=(), dtype=float32)"
47,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293D60>,"tf.Tensor(19.216934, shape=(), dtype=float32)"
48,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293E40>,"tf.Tensor(35.865593, shape=(), dtype=float32)"
49,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293EB0>,"tf.Tensor(17.609434, shape=(), dtype=float32)"
50,45,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293F90>,"tf.Tensor(40.725574, shape=(), dtype=float32)"
51,32,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029752293F20>,"tf.Tensor(41.78642, shape=(), dtype=float32)"
52,8,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315040>,"tf.Tensor(39.184494, shape=(), dtype=float32)"
53,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315120>,"tf.Tensor(16.042326, shape=(), dtype=float32)"
54,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315190>,"tf.Tensor(10.401073, shape=(), dtype=float32)"
55,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315200>,"tf.Tensor(38.95861, shape=(), dtype=float32)"
56,8,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315270>,"tf.Tensor(43.547554, shape=(), dtype=float32)"
57,8,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533152E0>,"tf.Tensor(10.733568, shape=(), dtype=float32)"
58,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315350>,"tf.Tensor(7.5612316, shape=(), dtype=float32)"
59,35,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533153C0>,"tf.Tensor(40.591873, shape=(), dtype=float32)"
60,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315430>,"tf.Tensor(14.487312, shape=(), dtype=float32)"
61,56,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533154A0>,"tf.Tensor(8.389129, shape=(), dtype=float32)"
62,16,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315510>,"tf.Tensor(49.22581, shape=(), dtype=float32)"
63,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315580>,"tf.Tensor(18.069574, shape=(), dtype=float32)"
64,16,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315660>,"tf.Tensor(9.749626, shape=(), dtype=float32)"
65,16,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315740>,"tf.Tensor(15.014898, shape=(), dtype=float32)"
66,3,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533156D0>,"tf.Tensor(17.284128, shape=(), dtype=float32)"
67,2,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533157B0>,"tf.Tensor(34.408634, shape=(), dtype=float32)"
68,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315820>,"tf.Tensor(57.420616, shape=(), dtype=float32)"
69,22,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315890>,"tf.Tensor(15.616159, shape=(), dtype=float32)"
70,9,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315900>,"tf.Tensor(20.517178, shape=(), dtype=float32)"
71,9,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315970>,"tf.Tensor(27.775772, shape=(), dtype=float32)"
72,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533159E0>,"tf.Tensor(76.75176, shape=(), dtype=float32)"
73,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315A50>,"tf.Tensor(11.145563, shape=(), dtype=float32)"
74,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315AC0>,"tf.Tensor(13.757989, shape=(), dtype=float32)"
75,24,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315B30>,"tf.Tensor(62.6559, shape=(), dtype=float32)"
76,18,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315BA0>,"tf.Tensor(25.770071, shape=(), dtype=float32)"
77,20,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315C10>,"tf.Tensor(28.54523, shape=(), dtype=float32)"
78,16,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315C80>,"tf.Tensor(18.448875, shape=(), dtype=float32)"
79,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315CF0>,"tf.Tensor(14.44257, shape=(), dtype=float32)"
80,7,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533150B0>,"tf.Tensor(39.43601, shape=(), dtype=float32)"
81,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315E40>,"tf.Tensor(39.757847, shape=(), dtype=float32)"
82,16,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315DD0>,"tf.Tensor(13.453601, shape=(), dtype=float32)"
83,23,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315EB0>,"tf.Tensor(19.631878, shape=(), dtype=float32)"
84,16,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315F20>,"tf.Tensor(12.042654, shape=(), dtype=float32)"
85,29,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315F90>,"tf.Tensor(24.385822, shape=(), dtype=float32)"
86,32,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753315D60>,"tf.Tensor(33.045628, shape=(), dtype=float32)"
87,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E040>,"tf.Tensor(26.133282, shape=(), dtype=float32)"
88,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E120>,"tf.Tensor(19.034683, shape=(), dtype=float32)"
89,17,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E190>,"tf.Tensor(17.270044, shape=(), dtype=float32)"
90,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E200>,"tf.Tensor(19.19138, shape=(), dtype=float32)"
91,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E270>,"tf.Tensor(15.005021, shape=(), dtype=float32)"
92,23,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E2E0>,"tf.Tensor(13.793685, shape=(), dtype=float32)"
93,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E350>,"tf.Tensor(41.38649, shape=(), dtype=float32)"
94,18,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E3C0>,"tf.Tensor(40.067963, shape=(), dtype=float32)"
95,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E430>,"tf.Tensor(62.654266, shape=(), dtype=float32)"
96,1,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E0B0>,"tf.Tensor(10.239584, shape=(), dtype=float32)"
