,0,1,2,3,4
0,[1 1 0 0 0 0 0 4 1 3 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.1427052  0.2567709  0.1888214 -0.0865262 -0.4443816  5.       ], shape=(6,), dtype=float32)",0.1,[1 2 4 0 0 0 0 0 6 3 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0],False
1,[1 2 4 0 0 0 0 0 6 3 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 0.82747173  0.16086064  0.05691643 -0.05980325 -0.2816638   5.        ], shape=(6,), dtype=float32)",0.0,[1 3 4 0 0 0 0 0 6 2 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0],False
2,[1 3 4 0 0 0 0 0 6 2 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 1 1 1 3],8.0,[2 1 0 0 0 0 0 4 1 3 1 6 0 0 0 4 0 0 0 0 0 0 0 0 0],False
3,[2 1 0 0 0 0 0 4 1 3 1 6 0 0 0 4 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 0.8701765   0.24152277 -0.45221743 -0.12355955 -0.08708918  5.        ], shape=(6,), dtype=float32)",0.0,[2 2 0 0 0 0 0 4 6 4 2 6 0 0 0 4 0 0 0 0 0 0 0 0 0],False
4,[2 2 0 0 0 0 0 4 6 4 2 6 0 0 0 4 0 0 0 0 0 0 0 0 0],[1 0 1 0 1 4],0.30000000000000004,[2 3 4 4 6 0 0 0 3 0 5 0 0 0 0 4 0 0 0 0 0 0 0 0 0],False
5,[2 3 4 4 6 0 0 0 3 0 5 0 0 0 0 4 0 0 0 0 0 0 0 0 0],[1 0 1 1 1 4],10.0,[3 1 0 0 0 0 0 1 1 4 5 5 0 0 0 4 5 0 0 0 0 0 0 0 0],False
6,[3 1 0 0 0 0 0 1 1 4 5 5 0 0 0 4 5 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.3633292   0.27756435 -0.43137395 -0.38599253 -0.08465677  5.        ], shape=(6,), dtype=float32)",0.1,[3 2 4 0 0 0 0 0 2 2 3 2 0 0 0 4 5 0 0 0 0 0 0 0 0],False
7,[3 2 4 0 0 0 0 0 2 2 3 2 0 0 0 4 5 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.1016506   0.40402138 -0.19175074 -0.4536668  -0.21608707  5.        ], shape=(6,), dtype=float32)",0.0,[3 3 4 0 0 0 0 0 2 3 5 6 0 0 0 4 5 0 0 0 0 0 0 0 0],False
8,[3 3 4 0 0 0 0 0 2 3 5 6 0 0 0 4 5 0 0 0 0 0 0 0 0],[ 1  1  1  0  1 12],30.0,[4 1 0 0 0 0 0 4 4 3 3 3 0 0 0 4 5 0 0 0 0 0 0 0 15],False
9,[4 1 0 0 0 0 0 4 4 3 3 3 0 0 0 4 5 0 0 0 0 0 0 0 15],"tf.Tensor([ 1.8436978   0.9025871  -2.14924    -0.6624868   0.13694233 10.        ], shape=(6,), dtype=float32)",0.2,[4 2 2 1 0 0 0 0 0 5 6 2 0 0 0 4 5 0 0 0 0 0 0 0 15],False
10,[4 2 2 1 0 0 0 0 0 5 6 2 0 0 0 4 5 0 0 0 0 0 0 0 15],[0 0 1 0 1 5],0.2,[4 3 2 1 5 2 0 0 0 0 4 0 0 0 0 4 5 0 0 0 0 0 0 0 15],False
